编号,名称,地点,劫难类型,简介,经度,纬度,主要人物
21,黑松林失散,黑松林,妖怪袭击,唐僧误入黑松林被黄袍怪擒获，八戒沙僧寻师未果。,87.5,42.5,唐僧 | 猪八戒 | 沙僧 | 黄袍怪
22,宝象国捎书,宝象国,身份伪装,百花羞公主托唐僧带信给父王，揭露黄袍怪霸占公主真相。,86.57,42.06,唐僧 | 百花羞公主 | 黄袍怪
23,金銮殿变虎,宝象国,妖怪袭击,黄袍怪施法将唐僧变为猛虎，诬陷其为妖，国王信以为真。,86.57,42.06,唐僧 | 黄袍怪 | 宝象国国王 | 猪八戒
24,平顶山逢魔,平顶山莲花洞,妖怪袭击,金角、银角大王设局捉拿唐僧，悟空智斗二怪，屡遭算计。,85,41.8,唐僧 | 孙悟空 | 金角大王 | 银角大王
25,莲花洞高悬,平顶山莲花洞,妖怪袭击,唐僧被吊在梁上，悟空变苍蝇探听，用计骗取宝贝葫芦。,85,41.8,唐僧 | 孙悟空 | 金角大王 | 银角大王
26,乌鸡国救主,乌鸡国,身份伪装,青毛狮子怪推国王入井篡位，悟空从井中捞尸，求丹复活。,82.94,41.71,唐僧 | 孙悟空 | 乌鸡国国王 | 青毛狮子怪
27,被魔化身,乌鸡国,身份伪装,妖怪变作唐僧模样混淆视听，八戒激悟空辨认真假，降妖。,82.94,41.71,唐僧 | 孙悟空 | 猪八戒 | 青毛狮子怪
28,号山逢怪,号山枯松涧,妖怪袭击,红孩儿变作受难孩童骗唐僧，掳走后欲吃唐僧肉长生不老。,81,41.5,唐僧 | 孙悟空 | 红孩儿
29,风摄圣僧,号山火云洞,妖怪袭击,红孩儿口吐三昧真火，悟空不敌，请来四海龙王降雨灭火。,81,41.5,唐僧 | 孙悟空 | 红孩儿
30,心猿遭害,号山火云洞,妖怪袭击,悟空被烟火熏伤昏迷，八戒请观音菩萨，用金箍收服红孩儿。,81,41.5,孙悟空 | 红孩儿 | 猪八戒 | 观音菩萨
31,请圣降妖,号山火云洞,神佛考验,观音菩萨收红孩儿为善财童子，解了唐僧之难，继续西行。,81,41.5,观音菩萨 | 红孩儿 | 孙悟空 | 唐僧
32,黑河沉没,黑水河,妖怪袭击,鼍龙怪变作船夫沉船捉唐僧，悟空水下难战，请西海龙王。,80,41.3,唐僧 | 孙悟空 | 猪八戒 | 鼍龙怪
33,搬运车迟,车迟国,身份伪装,虎力、鹿力、羊力三仙欺君灭僧，强迫和尚做苦力搬运。,80.26,41.17,唐僧 | 孙悟空 | 猪八戒 | 沙僧 | 虎力大仙
34,大赌输赢,车迟国,神佛考验,悟空与三仙斗法求雨、坐禅、猜枚，凭借神通逐一获胜。,80.26,41.17,孙悟空 | 虎力大仙 | 鹿力大仙 | 羊力大仙
35,祛道兴僧,车迟国,神佛考验,三仙现原形被杀，车迟国君王醒悟，释放僧人，复兴佛教。,80.26,41.17,孙悟空 | 虎力大仙 | 鹿力大仙 | 羊力大仙 | 车迟国国王
36,路逢大水,通天河,道路阻隔,通天河宽阔难渡，听闻灵感大王每年要吃童男童女祭祀。,78,41,唐僧 | 孙悟空 | 猪八戒 | 灵感大王
37,身落天河,通天河,妖怪袭击,悟空八戒变童男女诱妖，妖怪施法冻结河面，冰裂陷唐僧。,78,41,唐僧 | 灵感大王 | 孙悟空 | 猪八戒
38,鱼篮现身,通天河,神佛考验,悟空请观音菩萨，编竹篮收服金鱼精，老鼋驮师徒过河。,78,41,观音菩萨 | 灵感大王 | 孙悟空 | 唐僧 | 老鼋
39,金兜山遇怪,金兜山金兜洞,妖怪袭击,青牛精用金刚琢套走悟空金箍棒，天兵天将兵器皆被套走。,77.58,42.45,唐僧 | 孙悟空 | 青牛精 | 猪八戒 | 沙僧
40,普天神难伏,金兜山金兜洞,妖怪袭击,悟空请来火德星君、水德星君等，兵器仍被套，无可奈何。,77.58,42.45,孙悟空 | 青牛精 | 托塔天王 | 火德星君 | 水德星君
41,问佛根源,兜率宫,神佛考验,悟空求问如来，得知是太上老君坐骑青牛，老君收服孽畜。,77.6,42.46,孙悟空 | 如来佛祖 | 太上老君 | 青牛精
42,吃水遭毒,女儿国子母河,道路阻隔,唐僧八戒误饮子母河水怀孕腹痛，需解阳山破儿泉水化解。,75.3,42.82,唐僧 | 猪八戒 | 孙悟空 | 沙僧
43,西梁国留婚,西梁女国,师徒心性,女王愿以国相托招赘唐僧，唐僧假意应允，趁机脱身西去。,75.3,42.82,唐僧 | 西梁女王 | 孙悟空 | 猪八戒
44,琵琶洞受苦,毒敌山琵琶洞,妖怪袭击,蝎子精掳走唐僧逼婚，其倒马毒桩厉害，蛰伤悟空头部。,75.2,42.8,唐僧 | 孙悟空 | 猪八戒 | 蝎子精
45,再贬心猿,路边,师徒心性,悟空打死强盗，唐僧再次念咒驱逐，悟空离去，六耳猕猴趁虚而入。,74,42.5,唐僧 | 孙悟空 | 强盗 | 猪八戒
46,难辨猕猴,灵山,身份伪装,六耳猕猴假扮悟空打伤唐僧，真假美猴王上天入地难辨真伪。,73.5,42.3,孙悟空 | 六耳猕猴 | 唐僧 | 如来佛祖 | 观音菩萨
47,路阻火焰山,火焰山,道路阻隔,火焰山烈火熊熊，无法通过，需借铁扇公主芭蕉扇熄火。,74,42,唐僧 | 孙悟空 | 铁扇公主
48,求取芭蕉扇,翠云山芭蕉洞,妖怪袭击,悟空借扇受阻，变虫入腹逼铁扇公主，得假扇火越扇越大。,73.9,42.05,孙悟空 | 铁扇公主 | 牛魔王
49,收缚魔王,积雷山摩云洞,妖怪袭击,悟空联合土地阴兵，打败牛魔王，铁扇公主献出真芭蕉扇。,73.8,42.1,孙悟空 | 牛魔王 | 铁扇公主 | 猪八戒
50,赛城扫塔,祭赛国金光寺,身份伪装,金光寺宝塔蒙尘，悟空夜间扫塔，抓获偷宝物的鲇鱼怪。,72,41,孙悟空 | 唐僧 | 鲇鱼怪 | 祭赛国国王
51,取宝救僧,碧波潭,妖怪袭击,悟空潜入碧波潭，打败九头虫，夺回佛宝舍利，洗净污名。,71.9,41.05,孙悟空 | 九头虫 | 猪八戒 | 祭赛国国王
52,棘林吟咏,荆棘岭,道路阻隔,荆棘岭树精摄走唐僧谈诗论道，并无恶意，八戒筑倒树精。,70,40,唐僧 | 树精 | 猪八戒 | 孙悟空
53,小雷音遇难,小雷音寺,身份伪装,黄眉怪假扮佛祖设小雷音寺，唐僧误入被擒，悟空被困金铙。,69,39,唐僧 | 孙悟空 | 黄眉怪 | 猪八戒 | 沙僧
54,诸天神遭困,小雷音寺,妖怪袭击,黄眉怪用人种袋收尽天兵天将，悟空逃脱，求弥勒佛相助。,69,39,孙悟空 | 黄眉怪 | 弥勒佛 | 二十八宿
55,稀柿衕秽阻,七绝山,道路阻隔,七绝山满山柿子腐烂成泥，臭气熏天，八戒变猪拱开道路。,68,38,猪八戒 | 唐僧 | 孙悟空 | 沙僧
56,朱紫国行医,朱紫国,身份伪装,国王患双鸟失群之症，悟空悬丝诊脉，用马尿药丸治病。,67,37,孙悟空 | 朱紫国国王 | 唐僧 | 猪八戒
57,拯救疲癃,麒麟山獬豸洞,妖怪袭击,赛太岁抢走金圣宫娘娘，悟空盗取紫金铃，救出娘娘。,66.9,37.05,孙悟空 | 赛太岁 | 金圣宫娘娘 | 猪八戒
58,降妖取后,麒麟山獬豸洞,妖怪袭击,观音菩萨收服赛太岁（金毛犼），国王夫妇团聚，感恩送行。,66.9,37.05,观音菩萨 | 赛太岁 | 孙悟空 | 朱紫国国王
59,七情迷没,盘丝岭盘丝洞,妖怪袭击,七个蜘蛛精将唐僧绑在洞里，悟空变鹰叼走衣服，救师。,66,36,唐僧 | 孙悟空 | 蜘蛛精 | 猪八戒
60,多目遭伤,黄花观,妖怪袭击,蜈蚣精在多目观下毒，悟空不敌其金光，请黎山老母指点。,65.9,36.05,孙悟空 | 蜈蚣精 | 黎山老母 | 唐僧
61,路阻狮驼,狮驼岭,妖怪袭击,青狮、白象、大鹏三魔占据狮驼岭，势力庞大，阻挡去路。,65,35,唐僧 | 孙悟空 | 青狮精 | 白象精 | 大鹏精
62,怪分三色,狮驼洞,妖怪袭击,三魔各显神通，大鹏阴阳二气瓶险些炼化悟空，悟空逃脱。,64.9,35.05,孙悟空 | 青狮精 | 白象精 | 大鹏精 | 猪八戒
63,城里遇灾,狮驼国,妖怪袭击,狮驼国全被妖怪吃光，悟空深入魔窟，被吞入肚中折腾。,64.8,35,唐僧 | 孙悟空 | 青狮精 | 白象精 | 大鹏精
64,请佛收魔,狮驼岭,神佛考验,如来佛祖亲自出手，文殊普贤收青狮白象，如来收服大鹏。,65,35,如来佛祖 | 文殊菩萨 | 普贤菩萨 | 大鹏精 | 孙悟空
65,比丘救子,比丘国,身份伪装,国丈要用一千一百一十个小儿心肝做药引，悟空救走孩童。,67,34,孙悟空 | 唐僧 | 白鹿精 | 比丘国国王
66,辨认真邪,比丘国,妖怪袭击,国丈是白鹿精，美女是白面狐狸，悟空识破并打败二妖。,67,34,孙悟空 | 白鹿精 | 白面狐狸 | 比丘国国王
67,松林救怪,镇海寺,师徒心性,悟空打死老鼠精变的受害女子尸体，唐僧责怪杀生，赶悟空。,69,33.5,唐僧 | 孙悟空 | 老鼠精 | 猪八戒
68,僧房卧病,镇海寺,道路阻隔,唐僧受惊生病，悟空偷御膳做饭，后探知无底洞妖怪底细。,69,33.5,唐僧 | 孙悟空 | 老鼠精 | 猪八戒
69,无底洞遭困,陷空山无底洞,妖怪袭击,老鼠精掳走唐僧逼婚，悟空多次入洞救人，发现李天王牌位。,70,33,唐僧 | 孙悟空 | 老鼠精 | 托塔李天王
70,灭法国难行,灭法国,身份伪装,国王许愿杀一万和尚，已杀九千九百九十六，师徒剃发混入。,71,32.5,唐僧 | 孙悟空 | 灭法国国王 | 猪八戒
71,隐雾山遇魔,隐雾山折岳连环洞,妖怪袭击,艾叶花皮豹子精用分瓣梅花计捉走唐僧，悟空智斗救师。,72,32,唐僧 | 孙悟空 | 豹子精 | 猪八戒
72,凤仙郡求雨,凤仙郡,神佛考验,郡侯推倒供桌冒犯上天，三年大旱，悟空劝其向善，求得雨。,73,31.5,孙悟空 | 凤仙郡侯 | 玉帝 | 龙王
73,失落兵器,玉华县,师徒心性,王子拜师学艺，悟空三人展示兵器，被黄狮精偷走洞府。,74,31,孙悟空 | 猪八戒 | 沙僧 | 黄狮精
74,会庆钉钯,竹节山九曲盘桓洞,妖怪袭击,九灵元圣祖孙捉拿师徒，悟空请太乙天尊，收服九头狮子。,73.9,31.05,孙悟空 | 九灵元圣 | 黄狮精 | 太乙天尊
75,竹节山遭难,竹节山九曲盘桓洞,妖怪袭击,九灵元圣法力高强，一口擒住悟空等人，太乙天尊及时赶到。,73.9,31.05,唐僧 | 孙悟空 | 九灵元圣 | 太乙天尊
76,玄英洞受苦,青龙山玄英洞,妖怪袭击,辟寒、辟暑、辟尘三犀牛精索要香油，捉拿唐僧逼婚。,75,30.5,唐僧 | 孙悟空 | 辟寒大王 | 辟暑大王 | 辟尘大王
77,赶捉犀牛,青龙山玄英洞,妖怪袭击,悟空联合四木禽星，打败三犀牛精，追回唐僧，斩除妖邪。,75,30.5,孙悟空 | 四木禽星 | 辟寒大王 | 辟暑大王
78,天竺招婚,天竺国,身份伪装,玉兔精假扮公主抛绣球招亲，欲配唐僧，悟空识破其真身。,77,28,唐僧 | 玉兔精 | 孙悟空 | 天竺国公主
79,铜台府监禁,铜台府,身份伪装,寇员外斋僧后被强盗杀害，家人诬告唐僧师徒杀人，入狱。,78,27,唐僧 | 孙悟空 | 寇员外 | 强盗
80,凌云渡脱胎,凌云渡,神佛考验,接引佛祖撑无底船，唐僧脱去凡胎肉身，成就正果，过凌云渡。,79,26,唐僧 | 接引佛祖 | 孙悟空 | 猪八戒 | 沙僧
81,通天河遇鼋湿经书,通天河,神佛考验,师徒四人取得真经，归途遇老鼋问寿未答，老鼋沉水，经书落水沾湿，晒经石留痕。,81.8,25.5,唐僧 | 孙悟空 | 猪八戒 | 沙僧 | 老鼋
